VALUATION AND TAXES8,Number,Percent,Number,Percent
"Total
  Assessed Valuation","$228,461,507",100.0,"$22,797,094,335",100.0
Non-Minerals,"$55,900,713",24.5,"$9,290,528,889",40.8
Agriculture,"$3,687,692",1.6,"$253,014,175",1.1
Residential,"$26,908,523",11.8,"$4,292,823,158",18.8
Commercial,"$7,971,819",3.5,"$1,198,642,514",5.3
Industrial,"$7,870,652",3.4,"$2,162,592,241",9.5
Other,"$9,462,027",4.1,"$1,383,456,801",6.1
Minerals,"$172,560,794",75.5,"$13,506,565,446",59.2
Oil,"$169,533,573",74.2,"$4,229,997,989",18.6
Natural gas,"$370,197",0.2,"$4,470,657,938",19.6
Coal,"$340,384",0.1,"$4,054,979,229",17.8
Other minerals,"$2,316,640",1.0,"$750,930,290",3.3
"Total
  Property Taxes","$14,496,494",(X),"$1,463,519,560",(X)
"Average
  Mill Levy",63.5,(X),64.2,(X)

"4% Sales
  and Use Tax Collections","$4,470,066",(X),"$700,228,831",(X)

"LANDOWNERSHIP9 (square
  miles)",Number,Percent,Number,Percent
"Total
  Land","2,004.1",100.0,"97,093.1",100.0
U.S. Government,890.1,44.4,"46,535.4",47.9
National Park Service,0.0,0.0,"3,657.6",3.8
Forest Service,84.2,4.2,"14,390.9",14.8
Fish and Wildlife,0.0,0.0,80.3,0.1
Bureau of Land Management,803.7,40.1,"27,162.8",28.0
Bureau of Reclamation,2.1,0.1,"1,243.8",1.3
Wyoming,139.5,7.0,"6,042.7",6.2
State Lands Commission,137.8,6.9,"5,773.5",5.9
Recreation Commission,1.7,0.1,11.8,0.0
Game and Fish,0.0,0.0,257.4,0.3
Local Government,3.2,0.2,192.0,0.2
County,n/a,n/a,36.7,0.0
City and Town,n/a,n/a,78.3,0.1
School District and College,n/a,n/a,44.3,0.0
Other Lands,381.1,19.0,"3,155.5",3.2

Surface Water,2.3,0.1,735.2,0.8
Total Public,"1,413.9",70.6,"55,925.5",57.6
Total Private,590.2,29.4,"41,167.6",42.4

