HOUSEHOLDS BY TYPE2,Number,Percent,Number,Percent
"Total
  households","3,662",100.0,"221,479",100.0
Family households (families),"2,328",63.6,"145,992",65.9
"With own children under 18
  years",908,24.8,"63,449",28.6
Married-couple family,"1,911",52.2,"117,493",53.0
"With own children under 18
  years",601,16.4,"45,297",20.5
"Male householder, no wife present,
  family",102,2.8,"9,246",4.2
"With own children under 18
  years",80,2.2,"5,912",2.7
"Female householder, no husband
  present, family",315,8.6,"19,253",8.7
"With own children under 18
  years",227,6.2,"12,240",5.5
Nonfamily households,"1,334",36.4,"75,487",34.1
Householder living alone,"1,259",34.4,"61,207",27.6
65 years and over,662,18.1,"20,074",9.1

"Households with one or more people under 18
  years",986,26.9,"69,185",31.2
"Households with one or more people 65 years
  and over","1,308",35.7,"49,189",22.2

"Average
  household size",2.34,(X),2.48,(X)
"Average
  family size",2.96,(X),3.02,(X)

