VALUATION AND TAXES8,Number,Percent,Number,Percent
"Total
  Assessed Valuation","$155,215,991",100.0,"$22,797,094,335",100.0
Non-Minerals,"$93,936,208",60.5,"$9,290,528,889",40.8
Agriculture,"$4,232,266",2.7,"$253,014,175",1.1
Residential,"$37,609,003",24.2,"$4,292,823,158",18.8
Commercial,"$5,421,095",3.5,"$1,198,642,514",5.3
Industrial,"$17,345,727",11.2,"$2,162,592,241",9.5
Other,"$29,328,117",18.9,"$1,383,456,801",6.1
Minerals,"$61,279,783",39.5,"$13,506,565,446",59.2
Oil,"$53,874,173",34.7,"$4,229,997,989",18.6
Natural gas,"$6,544,309",4.2,"$4,470,657,938",19.6
Coal,$0,0.0,"$4,054,979,229",17.8
Other minerals,"$861,301",0.6,"$750,930,290",3.3
"Total
  Property Taxes","$10,852,206",(X),"$1,463,519,560",(X)
"Average
  Mill Levy",69.9,(X),64.2,(X)

"4% Sales
  and Use Tax Collections","$4,865,101",(X),"$700,228,831",(X)

"LANDOWNERSHIP9 (square
  miles)",Number,Percent,Number,Percent
"Total
  Land","2,398.1",100.0,"97,093.1",100.0
U.S. Government,485.2,20.2,"46,535.4",47.9
National Park Service,0.0,0.0,"3,657.6",3.8
Forest Service,368.5,15.4,"14,390.9",14.8
Fish and Wildlife,0.0,0.0,80.3,0.1
Bureau of Land Management,116.7,4.9,"27,162.8",28.0
Bureau of Reclamation,0.0,0.0,"1,243.8",1.3
Wyoming,189.1,7.9,"6,042.7",6.2
State Lands Commission,189.1,7.9,"5,773.5",5.9
Recreation Commission,0.0,0.0,11.8,0.0
Game and Fish,0.0,0.0,257.4,0.3
Local Government,3.2,0.1,192.0,0.2
County,0.8,0.0,36.7,0.0
City and Town,2.3,0.1,78.3,0.1
School District and College,0.1,0.0,44.3,0.0
Other Lands,5.0,0.2,"3,155.5",3.2

Surface Water,2.2,0.1,735.2,0.8
Total Public,682.4,28.5,"55,925.5",57.6
Total Private,"1,715.7",71.5,"41,167.6",42.4

