"INCOME
  AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)2",Number,Percent,Number,Percent
"Total
  households","2,172",100.0,"221,479",100.0
"Less than $10,000",141,6.5,"11,279",5.1
"$10,000 to $14,999",162,7.5,"10,717",4.8
"$15,000 to $24,999",257,11.8,"21,127",9.5
"$25,000 to $34,999",327,15.1,"22,992",10.4
"$35,000 to $49,999",377,17.4,"31,395",14.2
"$50,000 to $74,999",490,22.6,"44,135",19.9
"$75,000 to $99,999",155,7.1,"31,949",14.4
"$100,000 to $149,999",180,8.3,"32,413",14.6
"$150,000 to $199,999",37,1.7,"9,172",4.1
"$200,000 or more",46,2.1,"6,300",2.8
Median household income (dollars),"$41,786",(X),"$56,573",(X)
Mean household income (dollars),"$54,486",(X),"$70,836",(X)

With earnings,"1,565",72.1,"184,013",83.1
Mean earnings (dollars),"$52,414",(X),"$69,147",(X)
With Social Security,917,42.2,"58,632",26.5
Mean Social Security income (dollars),"$15,589",(X),"$16,806",(X)
With retirement income,554,25.5,"35,970",16.2
Mean retirement income (dollars),"$22,281",(X),"$21,386",(X)

With Supplemental Security Income,112,5.2,"6,552",3.0
"Mean Supplemental Security Income
  (dollars)","$7,442",(X),"$8,539",(X)
With cash public assistance income,36,1.7,"3,444",1.6
"Mean cash public assistance income
  (dollars)","$2,817",(X),"$3,374",(X)
With Food Stamp/SNAP benefits,195,9.0,"12,666",5.7

