PUBLIC SCHOOL STATISTICS10,Number,Percent
"Number
  of School Districts",4,(X),48,(X)
"Number
  of Schools",16,(X),351,(X)
"Fall
  Enrollment","2,394",(X),"90,993",(X)
"Composite
  ACT score (Grade 11)",20.4,(X),19.7,(X)
"High
  School Graduates (4 year on time)",144,(X),"5,300",(X)
Graduation Rate,79.6%,(X),77.6%,(X)
"Average
  Daily Membership (ADM)","2,372",(X),"89,832",(X)
"Certified
  Teachers",212,(X),"7,350",(X)
"Certified
  Staff",37,(X),"1,538",(X)
Administration,35,(X),746,(X)
"Classified
  Staff",175,(X),"6,940",(X)
"Students
  Transported Daily",867,(X),"31,351",(X)
"Total
  General Fund Revenues","$39,226,750",(X),"$1,370,360,482",(X)
"Total
  General Fund Expenditures","$38,840,713",(X),"$1,353,837,570",(X)
"Operating
  Cost Per ADM","$19,149",(X),"$17,156",(X)
"% of
  Students with Free or Reduced Lunch (2013-14)",43.5%,(X),37.6%,(X)

