VALUATION AND TAXES8,Number,Percent,Number,Percent
"Total
  Assessed Valuation","$2,703,075,978",100.0,"$22,797,094,335",100.0
Non-Minerals,"$878,136,791",32.5,"$9,290,528,889",40.8
Agriculture,"$5,441,287",0.2,"$253,014,175",1.1
Residential,"$211,585,645",7.8,"$4,292,823,158",18.8
Commercial,"$82,798,075",3.1,"$1,198,642,514",5.3
Industrial,"$378,629,432",14.0,"$2,162,592,241",9.5
Other,"$199,682,352",7.4,"$1,383,456,801",6.1
Minerals,"$1,824,939,187",67.5,"$13,506,565,446",59.2
Oil,"$501,052,458",18.5,"$4,229,997,989",18.6
Natural gas,"$651,562,169",24.1,"$4,470,657,938",19.6
Coal,"$95,439,142",3.5,"$4,054,979,229",17.8
Other minerals,"$576,885,418",21.3,"$750,930,290",3.3
"Total
  Property Taxes","$181,778,316",(X),"$1,463,519,560",(X)
"Average
  Mill Levy",67.2,(X),64.2,(X)

"4% Sales
  and Use Tax Collections","$75,454,381",(X),"$700,228,831",(X)

"LANDOWNERSHIP9 (square
  miles)",Number,Percent,Number,Percent
"Total
  Land","10,426.6",100.0,"97,093.1",100.0
U.S. Government,"7,191.9",69.0,"46,535.4",47.9
National Park Service,0.0,0.0,"3,657.6",3.8
Forest Service,145.1,1.4,"14,390.9",14.8
Fish and Wildlife,15.8,0.2,80.3,0.1
Bureau of Land Management,"6,725.1",64.5,"27,162.8",28.0
Bureau of Reclamation,305.9,2.9,"1,243.8",1.3
Wyoming,351.7,3.4,"6,042.7",6.2
State Lands Commission,296.4,2.8,"5,773.5",5.9
Recreation Commission,0.0,0.0,11.8,0.0
Game and Fish,55.3,0.5,257.4,0.3
Local Government,10.5,0.1,192.0,0.2
County,2.1,0.0,36.7,0.0
City and Town,7.3,0.1,78.3,0.1
School District and College,1.1,0.0,44.3,0.0
Other Lands,21.7,0.2,"3,155.5",3.2

Surface Water,65.9,0.6,735.2,0.8
Total Public,"7,575.9",72.7,"55,925.5",57.6
Total Private,"2,850.7",27.3,"41,167.6",42.4

