POPULATION - AGE/SEX1,Number,Percent,Number,Percent
Total,"21,675",100.0,"576,412",100.0
Male,"11,345",52.3,"294,281",51.1
Female,"10,330",47.7,"282,131",48.9

Under 5 years,"1,321",6.1,"38,592",6.7
5 to 9 years,"1,216",5.6,"38,895",6.7
10 to 14 years,"1,034",4.8,"36,286",6.3
15 to 19 years,988,4.6,"37,270",6.5
20 to 24 years,"1,068",4.9,"42,591",7.4
25 to 29 years,"2,239",10.3,"41,306",7.2
30 to 34 years,"2,023",9.3,"39,793",6.9
35 to 39 years,"1,758",8.1,"34,061",5.9
40 to 44 years,"1,643",7.6,"34,207",5.9
45 to 49 years,"1,469",6.8,"35,794",6.2
50 to 54 years,"1,528",7.0,"43,170",7.5
55 to 59 years,"1,620",7.5,"43,260",7.5
60 to 64 years,"1,342",6.2,"35,679",6.2
65 to 69 years,979,4.5,"25,651",4.5
70 to 74 years,600,2.8,"17,863",3.1
75 to 79 years,390,1.8,"12,783",2.2
80 to 84 years,258,1.2,"9,990",1.7
85 years and over,199,0.9,"9,221",1.6

Under 18 years,"4,203",19.4,"135,490",23.5
18 to 24 years,"1,424",6.6,"58,144",10.1
25 to 44 years,"7,663",35.4,"149,367",25.9
45 to 64 years,"5,959",27.5,"157,903",27.4
65 years and over,"2,426",11.2,"75,508",13.1

Median age (years),37.7,NA,36.9,NA

