PUBLIC SCHOOL STATISTICS10,Number,Percent
"Number
  of School Districts",3,(X),48,(X)
"Number
  of Schools",15,(X),351,(X)
"Fall
  Enrollment","4,371",(X),"90,993",(X)
"Composite
  ACT score (Grade 11)",19.3,(X),19.7,(X)
"High
  School Graduates (4 year on time)",276,(X),"5,300",(X)
Graduation Rate,80.7%,(X),77.6%,(X)
"Average
  Daily Membership (ADM)","4,321",(X),"89,832",(X)
"Certified
  Teachers",350,(X),"7,350",(X)
"Certified
  Staff",70,(X),"1,538",(X)
Administration,39,(X),746,(X)
"Classified
  Staff",341,(X),"6,940",(X)
"Students
  Transported Daily","1,701",(X),"31,351",(X)
"Total
  General Fund Revenues","$61,616,479",(X),"$1,370,360,482",(X)
"Total
  General Fund Expenditures","$61,382,351",(X),"$1,353,837,570",(X)
"Operating
  Cost Per ADM","$16,045",(X),"$17,156",(X)
"% of
  Students with Free or Reduced Lunch (2013-14)",38.8%,(X),37.6%,(X)

