POPULATION - AGE/SEX1,Number,Percent,Number,Percent
Total,"21,025",100.0,"576,412",100.0
Male,"10,645",50.6,"294,281",51.1
Female,"10,380",49.4,"282,131",48.9

Under 5 years,"1,641",7.8,"38,592",6.7
5 to 9 years,"1,768",8.4,"38,895",6.7
10 to 14 years,"1,766",8.4,"36,286",6.3
15 to 19 years,"1,527",7.3,"37,270",6.5
20 to 24 years,"1,145",5.4,"42,591",7.4
25 to 29 years,"1,280",6.1,"41,306",7.2
30 to 34 years,"1,524",7.2,"39,793",6.9
35 to 39 years,"1,403",6.7,"34,061",5.9
40 to 44 years,"1,204",5.7,"34,207",5.9
45 to 49 years,"1,250",5.9,"35,794",6.2
50 to 54 years,"1,657",7.9,"43,170",7.5
55 to 59 years,"1,614",7.7,"43,260",7.5
60 to 64 years,"1,172",5.6,"35,679",6.2
65 to 69 years,812,3.9,"25,651",4.5
70 to 74 years,508,2.4,"17,863",3.1
75 to 79 years,324,1.5,"12,783",2.2
80 to 84 years,244,1.2,"9,990",1.7
85 years and over,186,0.9,"9,221",1.6

Under 18 years,"6,151",29.3,"135,490",23.5
18 to 24 years,"1,696",8.1,"58,144",10.1
25 to 44 years,"5,411",25.7,"149,367",25.9
45 to 64 years,"5,693",27.1,"157,903",27.4
65 years and over,"2,074",9.9,"75,508",13.1

Median age (years),34.5,NA,36.9,NA

