"INCOME
  AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)2",Number,Percent,Number,Percent
"Total
  households","6,346",100.0,"221,479",100.0
"Less than $10,000",213,3.4,"11,279",5.1
"$10,000 to $14,999",259,4.1,"10,717",4.8
"$15,000 to $24,999",595,9.4,"21,127",9.5
"$25,000 to $34,999",416,6.6,"22,992",10.4
"$35,000 to $49,999",792,12.5,"31,395",14.2
"$50,000 to $74,999","1,442",22.7,"44,135",19.9
"$75,000 to $99,999","1,153",18.2,"31,949",14.4
"$100,000 to $149,999","1,114",17.6,"32,413",14.6
"$150,000 to $199,999",193,3.0,"9,172",4.1
"$200,000 or more",169,2.7,"6,300",2.8
Median household income (dollars),"$62,542",(X),"$56,573",(X)
Mean household income (dollars),"$71,465",(X),"$70,836",(X)

With earnings,"5,305",83.6,"184,013",83.1
Mean earnings (dollars),"$70,854",(X),"$69,147",(X)
With Social Security,"1,880",29.6,"58,632",26.5
Mean Social Security income (dollars),"$16,290",(X),"$16,806",(X)
With retirement income,"1,021",16.1,"35,970",16.2
Mean retirement income (dollars),"$20,672",(X),"$21,386",(X)

With Supplemental Security Income,148,2.3,"6,552",3.0
"Mean Supplemental Security Income
  (dollars)","$8,818",(X),"$8,539",(X)
With cash public assistance income,99,1.6,"3,444",1.6
"Mean cash public assistance income
  (dollars)","$2,555",(X),"$3,374",(X)
With Food Stamp/SNAP benefits,242,3.8,"12,666",5.7

