"INCOME
  AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)2",Number,Percent,Number,Percent
"Total
  households","3,662",100.0,"221,479",100.0
"Less than $10,000",194,5.3,"11,279",5.1
"$10,000 to $14,999",204,5.6,"10,717",4.8
"$15,000 to $24,999",569,15.5,"21,127",9.5
"$25,000 to $34,999",523,14.3,"22,992",10.4
"$35,000 to $49,999",507,13.8,"31,395",14.2
"$50,000 to $74,999",574,15.7,"44,135",19.9
"$75,000 to $99,999",468,12.8,"31,949",14.4
"$100,000 to $149,999",478,13.1,"32,413",14.6
"$150,000 to $199,999",114,3.1,"9,172",4.1
"$200,000 or more",31,0.8,"6,300",2.8
Median household income (dollars),"$44,917",(X),"$56,573",(X)
Mean household income (dollars),"$57,713",(X),"$70,836",(X)

With earnings,"2,674",73.0,"184,013",83.1
Mean earnings (dollars),"$59,335",(X),"$69,147",(X)
With Social Security,"1,561",42.6,"58,632",26.5
Mean Social Security income (dollars),"$15,172",(X),"$16,806",(X)
With retirement income,906,24.7,"35,970",16.2
Mean retirement income (dollars),"$15,002",(X),"$21,386",(X)

With Supplemental Security Income,73,2.0,"6,552",3.0
"Mean Supplemental Security Income
  (dollars)","$6,379",(X),"$8,539",(X)
With cash public assistance income,71,1.9,"3,444",1.6
"Mean cash public assistance income
  (dollars)",$763,(X),"$3,374",(X)
With Food Stamp/SNAP benefits,243,6.6,"12,666",5.7

