PUBLIC SCHOOL STATISTICS10,Number,Percent
"Number of
  School Districts",1,(X),48,(X)
"Number of
  Schools",21,(X),351,(X)
"Fall
  Enrollment","8,705",(X),"90,993",(X)
"Composite
  ACT score (Grade 11)",19.3,(X),19.7,(X)
"High
  School Graduates (4 year on time)",461,(X),"5,300",(X)
Graduation Rate,81.9%,(X),77.6%,(X)
"Average
  Daily Membership (ADM)","8,523",(X),"89,832",(X)
"Certified
  Teachers",643,(X),"7,350",(X)
"Certified
  Staff",149,(X),"1,538",(X)
Administration,46,(X),746,(X)
"Classified
  Staff",733,(X),"6,940",(X)
"Students
  Transported Daily","4,775",(X),"31,351",(X)
"Total
  General Fund Revenues","$122,777,528",(X),"$1,370,360,482",(X)
"Total
  General Fund Expenditures","$120,972,351",(X),"$1,353,837,570",(X)
"Operating
  Cost Per ADM","$16,324",(X),"$17,156",(X)
"% of
  Students with Free or Reduced Lunch (2013-14)",34.8%,(X),37.6%,(X)

