VALUATION AND TAXES8,Number,Percent,Number,Percent
"Total
  Assessed Valuation","$436,855,861",100.0,"$22,797,094,335",100.0
Non-Minerals,"$367,699,524",84.2,"$9,290,528,889",40.8
Agriculture,"$14,011,886",3.2,"$253,014,175",1.1
Residential,"$248,641,878",56.9,"$4,292,823,158",18.8
Commercial,"$57,830,695",13.2,"$1,198,642,514",5.3
Industrial,"$24,092,843",5.5,"$2,162,592,241",9.5
Other,"$23,122,222",5.3,"$1,383,456,801",6.1
Minerals,"$69,156,337",15.8,"$13,506,565,446",59.2
Oil,"$2,226,673",0.5,"$4,229,997,989",18.6
Natural gas,"$66,482,515",15.2,"$4,470,657,938",19.6
Coal,$0,0.0,"$4,054,979,229",17.8
Other minerals,"$447,149",0.1,"$750,930,290",3.3
"Total
  Property Taxes","$30,106,051",(X),"$1,463,519,560",(X)
"Average
  Mill Levy",68.9,(X),64.2,(X)

"4% Sales
  and Use Tax Collections","$20,734,251",(X),"$700,228,831",(X)

"LANDOWNERSHIP9 (square
  miles)",Number,Percent,Number,Percent
"Total
  Land","2,524.0",100.0,"97,093.1",100.0
U.S. Government,685.6,27.2,"46,535.4",47.9
National Park Service,0.0,0.0,"3,657.6",3.8
Forest Service,608.6,24.1,"14,390.9",14.8
Fish and Wildlife,0.0,0.0,80.3,0.1
Bureau of Land Management,77.0,3.0,"27,162.8",28.0
Bureau of Reclamation,0.0,0.0,"1,243.8",1.3
Wyoming,196.8,7.8,"6,042.7",6.2
State Lands Commission,183.5,7.3,"5,773.5",5.9
Recreation Commission,0.1,0.0,11.8,0.0
Game and Fish,13.3,0.5,257.4,0.3
Local Government,4.1,0.2,192.0,0.2
County,3.5,0.1,36.7,0.0
City and Town,0.3,0.0,78.3,0.1
School District and College,0.3,0.0,44.3,0.0
Other Lands,15.1,0.6,"3,155.5",3.2

Surface Water,3.8,0.2,735.2,0.8
Total Public,901.6,35.7,"55,925.5",57.6
Total Private,"1,622.4",64.3,"41,167.6",42.4

