"INCOME
  AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)2",Number,Percent,Number,Percent
"Total
  households","5,608",100.0,"221,479",100.0
"Less than $10,000",239,4.3,"11,279",5.1
"$10,000 to $14,999",260,4.6,"10,717",4.8
"$15,000 to $24,999",506,9.0,"21,127",9.5
"$25,000 to $34,999",574,10.2,"22,992",10.4
"$35,000 to $49,999",669,11.9,"31,395",14.2
"$50,000 to $74,999","1,138",20.3,"44,135",19.9
"$75,000 to $99,999",913,16.3,"31,949",14.4
"$100,000 to $149,999",987,17.6,"32,413",14.6
"$150,000 to $199,999",182,3.2,"9,172",4.1
"$200,000 or more",140,2.5,"6,300",2.8
Median household income (dollars),"$62,554",(X),"$56,573",(X)
Mean household income (dollars),"$71,432",(X),"$70,836",(X)

With earnings,"4,671",83.3,"184,013",83.1
Mean earnings (dollars),"$71,541",(X),"$69,147",(X)
With Social Security,"1,522",27.1,"58,632",26.5
Mean Social Security income (dollars),"$16,806",(X),"$16,806",(X)
With retirement income,903,16.1,"35,970",16.2
Mean retirement income (dollars),"$22,007",(X),"$21,386",(X)

With Supplemental Security Income,62,1.1,"6,552",3.0
"Mean Supplemental Security Income
  (dollars)","$8,747",(X),"$8,539",(X)
With cash public assistance income,22,0.4,"3,444",1.6
"Mean cash public assistance income
  (dollars)","$8,995",(X),"$3,374",(X)
With Food Stamp/SNAP benefits,380,6.8,"12,666",5.7

