PUBLIC SCHOOL STATISTICS10,Number,Percent
"Number
  of School Districts",2,(X),48,(X)
"Number
  of Schools",27,(X),351,(X)
"Fall
  Enrollment","8,167",(X),"90,993",(X)
"Composite
  ACT score (Grade 11)",18.8,(X),19.7,(X)
"High
  School Graduates (4 year on time)",422,(X),"5,300",(X)
Graduation Rate,79.3%,(X),77.6%,(X)
"Average
  Daily Membership (ADM)","8,078",(X),"89,832",(X)
"Certified
  Teachers",604,(X),"7,350",(X)
"Certified
  Staff",122,(X),"1,538",(X)
Administration,54,(X),746,(X)
"Classified
  Staff",625,(X),"6,940",(X)
"Students
  Transported Daily","5,031",(X),"31,351",(X)
"Total
  General Fund Revenues","$110,929,975",(X),"$1,370,360,482",(X)
"Total
  General Fund Expenditures","$107,732,850",(X),"$1,353,837,570",(X)
"Operating
  Cost Per ADM","$15,303",(X),"$17,156",(X)
"% of
  Students with Free or Reduced Lunch (2013-14)",32.8%,(X),37.6%,(X)

