"INCOME
  AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)2",Number,Percent,Number,Percent
"Total
  households","7,249",100.0,"221,479",100.0
"Less than $10,000",423,5.8,"11,279",5.1
"$10,000 to $14,999",416,5.7,"10,717",4.8
"$15,000 to $24,999",638,8.8,"21,127",9.5
"$25,000 to $34,999",670,9.2,"22,992",10.4
"$35,000 to $49,999",974,13.4,"31,395",14.2
"$50,000 to $74,999","1,199",16.5,"44,135",19.9
"$75,000 to $99,999","1,308",18.0,"31,949",14.4
"$100,000 to $149,999","1,165",16.1,"32,413",14.6
"$150,000 to $199,999",231,3.2,"9,172",4.1
"$200,000 or more",225,3.1,"6,300",2.8
Median household income (dollars),"$59,714",(X),"$56,573",(X)
Mean household income (dollars),"$70,203",(X),"$70,836",(X)

With earnings,"6,328",87.3,"184,013",83.1
Mean earnings (dollars),"$70,249",(X),"$69,147",(X)
With Social Security,"1,644",22.7,"58,632",26.5
Mean Social Security income (dollars),"$16,609",(X),"$16,806",(X)
With retirement income,946,13.1,"35,970",16.2
Mean retirement income (dollars),"$16,920",(X),"$21,386",(X)

With Supplemental Security Income,296,4.1,"6,552",3.0
"Mean Supplemental Security Income
  (dollars)","$6,899",(X),"$8,539",(X)
With cash public assistance income,186,2.6,"3,444",1.6
"Mean cash public assistance income
  (dollars)","$2,262",(X),"$3,374",(X)
With Food Stamp/SNAP benefits,607,8.4,"12,666",5.7

