"INCOME
  AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)2",Number,Percent,Number,Percent
"Total
  households","6,044",100.0,"221,479",100.0
"Less than $10,000",314,5.2,"11,279",5.1
"$10,000 to $14,999",259,4.3,"10,717",4.8
"$15,000 to $24,999",486,8.0,"21,127",9.5
"$25,000 to $34,999",531,8.8,"22,992",10.4
"$35,000 to $49,999",958,15.9,"31,395",14.2
"$50,000 to $74,999","1,222",20.2,"44,135",19.9
"$75,000 to $99,999","1,017",16.8,"31,949",14.4
"$100,000 to $149,999",958,15.9,"32,413",14.6
"$150,000 to $199,999",229,3.8,"9,172",4.1
"$200,000 or more",70,1.2,"6,300",2.8
Median household income (dollars),"$57,787",(X),"$56,573",(X)
Mean household income (dollars),"$67,006",(X),"$70,836",(X)

With earnings,"5,104",84.4,"184,013",83.1
Mean earnings (dollars),"$66,926",(X),"$69,147",(X)
With Social Security,"1,568",25.9,"58,632",26.5
Mean Social Security income (dollars),"$16,713",(X),"$16,806",(X)
With retirement income,842,13.9,"35,970",16.2
Mean retirement income (dollars),"$21,607",(X),"$21,386",(X)

With Supplemental Security Income,133,2.2,"6,552",3.0
"Mean Supplemental Security Income
  (dollars)","$6,403",(X),"$8,539",(X)
With cash public assistance income,50,0.8,"3,444",1.6
"Mean cash public assistance income
  (dollars)","$2,644",(X),"$3,374",(X)
With Food Stamp/SNAP benefits,436,7.2,"12,666",5.7

