VALUATION AND TAXES8,Number,Percent,Number,Percent
"Total
  Assessed Valuation","$160,828,105",100.0,"$22,797,094,335",100.0
Non-Minerals,"$158,530,443",98.6,"$9,290,528,889",40.8
Agriculture,"$26,433,908",16.4,"$253,014,175",1.1
Residential,"$63,333,713",39.4,"$4,292,823,158",18.8
Commercial,"$15,158,185",9.4,"$1,198,642,514",5.3
Industrial,"$3,499,958",2.2,"$2,162,592,241",9.5
Other,"$50,104,679",31.2,"$1,383,456,801",6.1
Minerals,"$2,297,662",1.4,"$13,506,565,446",59.2
Oil,"$1,905,516",1.2,"$4,229,997,989",18.6
Natural gas,$0,0.0,"$4,470,657,938",19.6
Coal,$0,0.0,"$4,054,979,229",17.8
Other minerals,"$392,146",0.2,"$750,930,290",3.3
"Total
  Property Taxes","$11,196,759",(X),"$1,463,519,560",(X)
"Average
  Mill Levy",69.6,(X),64.2,(X)

"4% Sales
  and Use Tax Collections","$7,493,327",(X),"$700,228,831",(X)

LANDOWNERSHIP9 (square miles),Number,Percent,Number,Percent
"Total
  Land","2,225.4",100.0,"97,093.1",100.0
U.S. Government,41.9,1.9,"46,535.4",47.9
National Park Service,1.2,0.1,"3,657.6",3.8
Forest Service,0.0,0.0,"14,390.9",14.8
Fish and Wildlife,0.0,0.0,80.3,0.1
Bureau of Land Management,39.4,1.8,"27,162.8",28.0
Bureau of Reclamation,1.3,0.1,"1,243.8",1.3
Wyoming,151.2,6.8,"6,042.7",6.2
State Lands Commission,144.2,6.5,"5,773.5",5.9
Recreation Commission,3.1,0.1,11.8,0.0
Game and Fish,3.9,0.2,257.4,0.3
Local Government,2.7,0.1,192.0,0.2
County,0.1,0.0,36.7,0.0
City and Town,2.0,0.1,78.3,0.1
School District and College,0.5,0.0,44.3,0.0
Other Lands,8.4,0.4,"3,155.5",3.2

Surface Water,6.8,0.3,735.2,0.8
Total Public,204.2,9.2,"55,925.5",57.6
Total Private,"2,021.2",90.8,"41,167.6",42.4

