TRANSPORTATION12,Number,Percent,Number,Percent
"Number
  of Registered Vehicles","35,569",100.0,"883,401",100.0
Passenger Cars,"19,639",55.2,"348,250",39.4
Trucks,"7,895",22.2,"251,400",28.5
Motorcycles,"1,082",3.0,"29,853",3.4
Trailers (including house trailers),"6,125",17.2,"196,395",22.2
"University of Wyoming Specialty Plates
  (cars & trucks)",170,0.5,"5,025",0.6
Commercial Trucks & Trailers,394,1.1,"24,901",2.8
Others,264,0.7,"27,577",3.1
"Road
  (miles)","1,012",100.0,"29,070",100.0
Federal,687,67.9,"4,089",14.1
State Highway,85,8.4,"6,752",23.2
County Road,84,8.3,"14,620",50.3
Local (City & Town),36,3.6,"2,431",8.4
Other,120,11.8,"1,178",4.1
"Per
  Capita Vehicle Miles Traveled","14,079",(X),"15,659",(X)
"Commercial
  Airport Passengers","542,430",(X),"997,818",(X)

