"INCOME
  AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)2",Number,Percent,Number,Percent
"Total
  households","16,535",100.0,"221,479",100.0
"Less than $10,000",518,3.1,"11,279",5.1
"$10,000 to $14,999",451,2.7,"10,717",4.8
"$15,000 to $24,999","1,122",6.8,"21,127",9.5
"$25,000 to $34,999","1,499",9.1,"22,992",10.4
"$35,000 to $49,999","1,819",11.0,"31,395",14.2
"$50,000 to $74,999","3,331",20.1,"44,135",19.9
"$75,000 to $99,999","2,689",16.3,"31,949",14.4
"$100,000 to $149,999","3,703",22.4,"32,413",14.6
"$150,000 to $199,999",842,5.1,"9,172",4.1
"$200,000 or more",561,3.4,"6,300",2.8
Median household income (dollars),"$72,139",(X),"$56,573",(X)
Mean household income (dollars),"$80,637",(X),"$70,836",(X)

With earnings,"14,407",87.1,"184,013",83.1
Mean earnings (dollars),"$81,193",(X),"$69,147",(X)
With Social Security,"3,359",20.3,"58,632",26.5
Mean Social Security income (dollars),"$17,871",(X),"$16,806",(X)
With retirement income,"2,585",15.6,"35,970",16.2
Mean retirement income (dollars),"$16,564",(X),"$21,386",(X)

With Supplemental Security Income,440,2.7,"6,552",3.0
"Mean Supplemental Security Income
  (dollars)","$8,807",(X),"$8,539",(X)
With cash public assistance income,211,1.3,"3,444",1.6
"Mean cash public assistance income
  (dollars)","$4,055",(X),"$3,374",(X)
With Food Stamp/SNAP benefits,601,3.6,"12,666",5.7

