VALUATION AND TAXES8,Number,Percent,Number,Percent
"Total
  Assessed Valuation","$531,980,223",100.0,"$22,797,094,335",100.0
Non-Minerals,"$292,022,991",54.9,"$9,290,528,889",40.8
Agriculture,"$6,341,949",1.2,"$253,014,175",1.1
Residential,"$104,576,973",19.7,"$4,292,823,158",18.8
Commercial,"$29,673,824",5.6,"$1,198,642,514",5.3
Industrial,"$68,132,574",12.8,"$2,162,592,241",9.5
Other,"$83,297,671",15.7,"$1,383,456,801",6.1
Minerals,"$239,957,232",45.1,"$13,506,565,446",59.2
Oil,"$64,317,898",12.1,"$4,229,997,989",18.6
Natural gas,"$175,197,382",32.9,"$4,470,657,938",19.6
Coal,$0,0.0,"$4,054,979,229",17.8
Other minerals,"$441,952",0.1,"$750,930,290",3.3
"Total
  Property Taxes","$33,681,508",(X),"$1,463,519,560",(X)
"Average
  Mill Levy",63.3,(X),64.2,(X)

"4% Sales
  and Use Tax Collections","$15,991,646",(X),"$700,228,831",(X)

"LANDOWNERSHIP9 (square
  miles)",Number,Percent,Number,Percent
"Total
  Land","2,081.3",100.0,"97,093.1",100.0
U.S. Government,887.8,42.7,"46,535.4",47.9
National Park Service,0.0,0.0,"3,657.6",3.8
Forest Service,58.6,2.8,"14,390.9",14.8
Fish and Wildlife,0.0,0.0,80.3,0.1
Bureau of Land Management,829.1,39.8,"27,162.8",28.0
Bureau of Reclamation,0.0,0.0,"1,243.8",1.3
Wyoming,83.2,4.0,"6,042.7",6.2
State Lands Commission,82.6,4.0,"5,773.5",5.9
Recreation Commission,0.5,0.0,11.8,0.0
Game and Fish,0.0,0.0,257.4,0.3
Local Government,7.3,0.3,192.0,0.2
County,2.7,0.1,36.7,0.0
City and Town,4.2,0.2,78.3,0.1
School District and College,0.5,0.0,44.3,0.0
Other Lands,8.2,0.4,"3,155.5",3.2

Surface Water,5.9,0.3,735.2,0.8
Total Public,986.4,47.4,"55,925.5",57.6
Total Private,"1,094.9",52.6,"41,167.6",42.4

