POPULATION - AGE/SEX1,Number,Percent,Number,Percent
Total,"8,615",100.0,"576,412",100.0
Male,"4,371",50.7,"294,281",51.1
Female,"4,244",49.3,"282,131",48.9

Under 5 years,529,6.1,"38,592",6.7
5 to 9 years,534,6.2,"38,895",6.7
10 to 14 years,461,5.4,"36,286",6.3
15 to 19 years,515,6.0,"37,270",6.5
20 to 24 years,379,4.4,"42,591",7.4
25 to 29 years,450,5.2,"41,306",7.2
30 to 34 years,522,6.1,"39,793",6.9
35 to 39 years,480,5.6,"34,061",5.9
40 to 44 years,495,5.7,"34,207",5.9
45 to 49 years,518,6.0,"35,794",6.2
50 to 54 years,606,7.0,"43,170",7.5
55 to 59 years,772,9.0,"43,260",7.5
60 to 64 years,683,7.9,"35,679",6.2
65 to 69 years,549,6.4,"25,651",4.5
70 to 74 years,413,4.8,"17,863",3.1
75 to 79 years,285,3.3,"12,783",2.2
80 to 84 years,214,2.5,"9,990",1.7
85 years and over,210,2.4,"9,221",1.6

Under 18 years,"1,858",21.6,"135,490",23.5
18 to 24 years,560,6.5,"58,144",10.1
25 to 44 years,"1,947",22.6,"149,367",25.9
45 to 64 years,"2,579",29.9,"157,903",27.4
65 years and over,"1,671",19.4,"75,508",13.1

Median age (years),44.4,NA,36.9,NA

