"TOTAL
  ANNUAL WAGES6",Number,Percent,Number,Percent
Total,"$697,931,273",100.0,"$12,419,640,108",100.0
Private,"$585,037,772",83.8,"$9,402,134,549",75.7
"Agriculture, Forestry, Fishing,
  & Hunting","$2,165,455",0.3,"$77,320,968",0.6
"Mining, Quarrying, & Oil &
  Gas Extraction","$52,758",0.0,"$2,292,161,480",18.5
Utilities,"$2,679,753",0.4,"$201,510,613",1.6
Construction,"$74,121,353",10.6,"$1,060,383,641",8.5
Manufacturing,"$4,880,625",0.7,"$522,831,750",4.2
Wholesale Trade,"$10,142,288",1.5,"$527,492,048",4.2
Retail Trade,"$53,012,514",7.6,"$796,995,012",6.4
Transportation & Warehousing,"$13,228,445",1.9,"$452,562,477",3.6
Information,"$14,287,615",2.0,"$162,296,930",1.3
Financial Activities,"$60,866,496",8.7,"$528,141,060",4.3
Professional & Business Services,"$108,194,263",15.5,"$875,522,196",7.0
Educational & Health Services,"$46,981,260",6.7,"$1,017,875,287",8.2
Leisure & Hospitality,"$174,882,435",25.1,"$589,074,501",4.7
Other Services,"$19,542,512",2.8,"$297,966,586",2.4
Government,"$112,893,501",16.2,"$3,017,505,559",24.3
Federal Government,"$22,580,369",3.2,"$444,713,124",3.6
State Government,"$5,486,843",0.8,"$693,482,477",5.6
Local Government,"$84,826,289",12.2,"$1,879,309,958",15.1

