"TOTAL
  ANNUAL WAGES6",Number,Percent,Number,Percent
Total,"$1,388,778,526",100.0,"$12,419,640,108",100.0
Private,"$1,190,843,660",85.7,"$9,402,134,549",75.7
"Agriculture, Forestry, Fishing,
  & Hunting","$417,956",0.0,"$77,320,968",0.6
"Mining, Quarrying, & Oil &
  Gas Extraction","$548,229,704",39.5,"$2,292,161,480",18.5
Utilities,"$35,687,575",2.6,"$201,510,613",1.6
Construction,"$93,112,202",6.7,"$1,060,383,641",8.5
Manufacturing,"$116,222,993",8.4,"$522,831,750",4.2
Wholesale Trade,"$48,599,055",3.5,"$527,492,048",4.2
Retail Trade,"$66,894,302",4.8,"$796,995,012",6.4
Transportation & Warehousing,"$76,861,068",5.5,"$452,562,477",3.6
Information,"$5,550,483",0.4,"$162,296,930",1.3
Financial Activities,"$46,759,242",3.4,"$528,141,060",4.3
Professional & Business Services,"$61,503,645",4.4,"$875,522,196",7.0
Educational & Health Services,"$36,907,796",2.7,"$1,017,875,287",8.2
Leisure & Hospitality,"$37,854,352",2.7,"$589,074,501",4.7
Other Services,"$16,243,287",1.2,"$297,966,586",2.4
Government,"$197,934,866",14.3,"$3,017,505,559",24.3
Federal Government,"$14,277,977",1.0,"$444,713,124",3.6
State Government,"$13,262,065",1.0,"$693,482,477",5.6
Local Government,"$170,394,824",12.3,"$1,879,309,958",15.1

