AVERAGE ANNUAL WAGE6,Number,Percent,Number,Percent
Total,"$41,906",100.0,"$44,580",100.0
Private,"$37,702",90.0,"$44,309",99.4
"Agriculture, Forestry, Fishing,
  & Hunting","$29,725",70.9,"$30,423",68.2
"Mining, Quarrying, & Oil &
  Gas Extraction","$75,620",180.5,"$82,787",185.7
Utilities,"$81,336",194.1,"$81,625",183.1
Construction,"$42,468",101.3,"$49,321",110.6
Manufacturing,"$57,321",136.8,"$55,879",125.3
Wholesale Trade,"$53,102",126.7,"$57,547",129.1
Retail Trade,"$29,366",70.1,"$27,069",60.7
Transportation & Warehousing,"$41,257",98.5,"$47,370",106.3
Information,"$45,029",107.5,"$41,599",93.3
Financial Activities,"$47,685",113.8,"$49,113",110.2
Professional & Business Services,"$41,102",98.1,"$48,614",109.0
Educational & Health Services,"$44,937",107.2,"$40,194",90.2
Leisure & Hospitality,"$16,807",40.1,"$17,365",39.0
Other Services,"$31,531",75.2,"$34,795",78.1
Government,"$51,190",122.2,"$45,442",101.9
Federal Government,"$63,204",150.8,"$59,122",132.6
State Government,"$57,481",137.2,"$51,973",116.6
Local Government,"$43,300",103.3,"$41,270",92.6

