AVERAGE ANNUAL WAGE6,Number,Percent,Number,Percent
Total,"$35,916",100.0,"$44,580",100.0
Private,"$35,717",99.4,"$44,309",99.4
"Agriculture, Forestry, Fishing,
  & Hunting","$30,194",84.1,"$30,423",68.2
"Mining, Quarrying, & Oil &
  Gas Extraction","$48,494",135.0,"$82,787",185.7
Utilities,"$67,581",188.2,"$81,625",183.1
Construction,"$35,899",100.0,"$49,321",110.6
Manufacturing,"$46,715",130.1,"$55,879",125.3
Wholesale Trade,"$52,205",145.4,"$57,547",129.1
Retail Trade,"$21,616",60.2,"$27,069",60.7
Transportation & Warehousing,"$38,975",108.5,"$47,370",106.3
Information,"$30,205",84.1,"$41,599",93.3
Financial Activities,"$40,691",113.3,"$49,113",110.2
Professional & Business Services,"$40,422",112.5,"$48,614",109.0
Educational & Health Services,"$36,839",102.6,"$40,194",90.2
Leisure & Hospitality,"$12,431",34.6,"$17,365",39.0
Other Services,"$21,577",60.1,"$34,795",78.1
Government,"$36,363",101.2,"$45,442",101.9
Federal Government,"$48,679",135.5,"$59,122",132.6
State Government,"$46,209",128.7,"$51,973",116.6
Local Government,"$33,134",92.3,"$41,270",92.6

