"TOTAL
  ANNUAL WAGES6",Number,Percent,Number,Percent
Total,"$323,103,522",100.0,"$12,419,640,108",100.0
Private,"$270,594,198",83.7,"$9,402,134,549",75.7
"Agriculture, Forestry, Fishing,
  & Hunting","$2,971,912",0.9,"$77,320,968",0.6
"Mining, Quarrying, & Oil &
  Gas Extraction","$150,732,010",46.7,"$2,292,161,480",18.5
Utilities,"$2,231,193",0.7,"$201,510,613",1.6
Construction,"$36,732,156",11.4,"$1,060,383,641",8.5
Manufacturing,"$2,353,390",0.7,"$522,831,750",4.2
Wholesale Trade,"$2,018,486",0.6,"$527,492,048",4.2
Retail Trade,"$9,398,537",2.9,"$796,995,012",6.4
Transportation & Warehousing,"$15,883,684",4.9,"$452,562,477",3.6
Information,"$1,301,428",0.4,"$162,296,930",1.3
Financial Activities,"$8,211,215",2.5,"$528,141,060",4.3
Professional & Business Services,"$20,084,010",6.2,"$875,522,196",7.0
Educational & Health Services,"$5,925,980",1.8,"$1,017,875,287",8.2
Leisure & Hospitality,"$9,389,806",2.9,"$589,074,501",4.7
Other Services,"$3,360,391",1.0,"$297,966,586",2.4
Government,"$52,509,324",16.3,"$3,017,505,559",24.3
Federal Government,"$6,996,220",2.2,"$444,713,124",3.6
State Government,"$4,773,815",1.5,"$693,482,477",5.6
Local Government,"$40,739,289",12.6,"$1,879,309,958",15.1

