POPULATION - AGE/SEX1,Number,Percent,Number,Percent
Total,"7,155",100.0,"576,412",100.0
Male,"3,654",51.1,"294,281",51.1
Female,"3,501",48.9,"282,131",48.9

Under 5 years,465,6.5,"38,592",6.7
5 to 9 years,441,6.2,"38,895",6.7
10 to 14 years,423,5.9,"36,286",6.3
15 to 19 years,441,6.2,"37,270",6.5
20 to 24 years,323,4.5,"42,591",7.4
25 to 29 years,363,5.1,"41,306",7.2
30 to 34 years,412,5.8,"39,793",6.9
35 to 39 years,338,4.7,"34,061",5.9
40 to 44 years,402,5.6,"34,207",5.9
45 to 49 years,512,7.2,"35,794",6.2
50 to 54 years,605,8.5,"43,170",7.5
55 to 59 years,644,9.0,"43,260",7.5
60 to 64 years,545,7.6,"35,679",6.2
65 to 69 years,446,6.2,"25,651",4.5
70 to 74 years,321,4.5,"17,863",3.1
75 to 79 years,217,3.0,"12,783",2.2
80 to 84 years,120,1.7,"9,990",1.7
85 years and over,137,1.9,"9,221",1.6

Under 18 years,"1,615",22.6,"135,490",23.5
18 to 24 years,478,6.7,"58,144",10.1
25 to 44 years,"1,515",21.2,"149,367",25.9
45 to 64 years,"2,306",32.2,"157,903",27.4
65 years and over,"1,241",17.3,"75,508",13.1

Median age (years),44.6,NA,36.9,NA

