"INCOME
  AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)2",Number,Percent,Number,Percent
"Total
  households","15,021",100.0,"221,479",100.0
"Less than $10,000","1,961",13.1,"11,279",5.1
"$10,000 to $14,999","1,022",6.8,"10,717",4.8
"$15,000 to $24,999","1,935",12.9,"21,127",9.5
"$25,000 to $34,999","1,767",11.8,"22,992",10.4
"$35,000 to $49,999","1,634",10.9,"31,395",14.2
"$50,000 to $74,999","2,675",17.8,"44,135",19.9
"$75,000 to $99,999","1,605",10.7,"31,949",14.4
"$100,000 to $149,999","1,623",10.8,"32,413",14.6
"$150,000 to $199,999",420,2.8,"9,172",4.1
"$200,000 or more",379,2.5,"6,300",2.8
Median household income (dollars),"$42,882",(X),"$56,573",(X)
Mean household income (dollars),"$59,714",(X),"$70,836",(X)

With earnings,"13,127",87.4,"184,013",83.1
Mean earnings (dollars),"$56,558",(X),"$69,147",(X)
With Social Security,"2,708",18.0,"58,632",26.5
Mean Social Security income (dollars),"$15,991",(X),"$16,806",(X)
With retirement income,"1,880",12.5,"35,970",16.2
Mean retirement income (dollars),"$24,705",(X),"$21,386",(X)

With Supplemental Security Income,359,2.4,"6,552",3.0
"Mean Supplemental Security Income
  (dollars)","$6,735",(X),"$8,539",(X)
With cash public assistance income,170,1.1,"3,444",1.6
"Mean cash public assistance income
  (dollars)","$3,233",(X),"$3,374",(X)
With Food Stamp/SNAP benefits,768,5.1,"12,666",5.7

