VALUATION AND TAXES8,Number,Percent,Number,Percent
"Total
  Assessed Valuation","$3,022,001,112",100.0,"$22,797,094,335",100.0
Non-Minerals,"$420,473,331",13.9,"$9,290,528,889",40.8
Agriculture,"$8,189,742",0.3,"$253,014,175",1.1
Residential,"$98,364,751",3.3,"$4,292,823,158",18.8
Commercial,"$30,910,051",1.0,"$1,198,642,514",5.3
Industrial,"$275,675,532",9.1,"$2,162,592,241",9.5
Other,"$7,333,255",0.2,"$1,383,456,801",6.1
Minerals,"$2,601,527,781",86.1,"$13,506,565,446",59.2
Oil,"$511,702,880",16.9,"$4,229,997,989",18.6
Natural gas,"$2,088,922,757",69.1,"$4,470,657,938",19.6
Coal,$0,0.0,"$4,054,979,229",17.8
Other minerals,"$902,144",0.0,"$750,930,290",3.3
"Total
  Property Taxes","$178,328,749",(X),"$1,463,519,560",(X)
"Average
  Mill Levy",59.0,(X),64.2,(X)

"4% Sales
  and Use Tax Collections","$40,667,478",(X),"$700,228,831",(X)

"LANDOWNERSHIP9 (square
  miles)",Number,Percent,Number,Percent
"Total
  Land","4,886.5",100.0,"97,093.1",100.0
U.S. Government,"3,814.4",78.1,"46,535.4",47.9
National Park Service,0.0,0.0,"3,657.6",3.8
Forest Service,"1,820.0",37.2,"14,390.9",14.8
Fish and Wildlife,0.0,0.0,80.3,0.1
Bureau of Land Management,"1,987.4",40.7,"27,162.8",28.0
Bureau of Reclamation,7.0,0.1,"1,243.8",1.3
Wyoming,193.8,4.0,"6,042.7",6.2
State Lands Commission,178.6,3.7,"5,773.5",5.9
Recreation Commission,0.0,0.0,11.8,0.0
Game and Fish,15.2,0.3,257.4,0.3
Local Government,3.2,0.1,192.0,0.2
County,1.9,0.0,36.7,0.0
City and Town,1.1,0.0,78.3,0.1
School District and College,0.2,0.0,44.3,0.0
Other Lands,9.8,0.2,"3,155.5",3.2

Surface Water,53.1,1.1,735.2,0.8
Total Public,"4,021.2",82.3,"55,925.5",57.6
Total Private,865.3,17.7,"41,167.6",42.4

