AVERAGE ANNUAL WAGE6,Number,Percent,Number,Percent
Total,"$40,068",100.0,"$44,580",100.0
Private,"$38,562",96.2,"$44,309",99.4
"Agriculture, Forestry, Fishing,
  & Hunting","$34,509",86.1,"$30,423",68.2
"Mining, Quarrying, & Oil &
  Gas Extraction","$21,103",52.7,"$82,787",185.7
Utilities,"$77,115",192.5,"$81,625",183.1
Construction,"$44,915",112.1,"$49,321",110.6
Manufacturing,"$35,431",88.4,"$55,879",125.3
Wholesale Trade,"$64,911",162.0,"$57,547",129.1
Retail Trade,"$29,791",74.3,"$27,069",60.7
Transportation & Warehousing,"$40,269",100.5,"$47,370",106.3
Information,"$62,323",155.5,"$41,599",93.3
Financial Activities,"$76,755",191.6,"$49,113",110.2
Professional & Business Services,"$67,685",168.9,"$48,614",109.0
Educational & Health Services,"$47,516",118.6,"$40,194",90.2
Leisure & Hospitality,"$25,462",63.5,"$17,365",39.0
Other Services,"$36,106",90.1,"$34,795",78.1
Government,"$50,236",125.4,"$45,442",101.9
Federal Government,"$55,788",139.2,"$59,122",132.6
State Government,"$52,506",131.0,"$51,973",116.6
Local Government,"$48,807",121.8,"$41,270",92.6

