HOUSEHOLDS BY TYPE2,Number,Percent,Number,Percent
"Total
  households","5,608",100.0,"221,479",100.0
Family households (families),"3,775",67.3,"145,992",65.9
"With own children under 18
  years","1,695",30.2,"63,449",28.6
Married-couple family,"3,099",55.3,"117,493",53.0
"With own children under 18
  years","1,232",22.0,"45,297",20.5
"Male householder, no wife present,
  family",230,4.1,"9,246",4.2
"With own children under 18
  years",157,2.8,"5,912",2.7
"Female householder, no husband
  present, family",446,8.0,"19,253",8.7
"With own children under 18
  years",306,5.5,"12,240",5.5
Nonfamily households,"1,833",32.7,"75,487",34.1
Householder living alone,"1,628",29.0,"61,207",27.6
65 years and over,609,10.9,"20,074",9.1

"Households with one or more people under 18
  years","1,914",34.1,"69,185",31.2
"Households with one or more people 65 years
  and over","1,295",23.1,"49,189",22.2

"Average
  household size",2.44,(X),2.48,(X)
"Average
  family size",2.97,(X),3.02,(X)

