"HOME
  VALUE2",Number,Percent,Number,Percent
"Owner-occupied
  units","5,402",100.0,"155,659",100.0
"Less than $50,000",429,7.9,"16,506",10.6
"$50,000 to $99,999",582,10.8,"14,553",9.3
"$100,000 to $149,999",906,16.8,"23,529",15.1
"$150,000 to $199,999","1,246",23.1,"32,655",21.0
"$200,000 to $299,999","1,474",27.3,"38,465",24.7
"$300,000 to $499,999",531,9.8,"20,225",13.0
"$500,000 to $999,999",139,2.6,"6,826",4.4
"$1,000,000 or more",95,1.8,"2,900",1.9
Median (dollars),"$180,200",(X),"$184,400",(X)

