"HOME
  VALUE2",Number,Percent,Number,Percent
"Owner-occupied
  units","2,913",100.0,"155,659",100.0
"Less than $50,000",411,14.1,"16,506",10.6
"$50,000 to $99,999",581,19.9,"14,553",9.3
"$100,000 to $149,999",659,22.6,"23,529",15.1
"$150,000 to $199,999",569,19.5,"32,655",21.0
"$200,000 to $299,999",501,17.2,"38,465",24.7
"$300,000 to $499,999",111,3.8,"20,225",13.0
"$500,000 to $999,999",71,2.4,"6,826",4.4
"$1,000,000 or more",10,0.3,"2,900",1.9
Median (dollars),"$133,300",(X),"$184,400",(X)

