"TOTAL
  ANNUAL WAGES6",Number,Percent,Number,Percent
Total,"$1,833,229,568",100.0,"$12,419,640,108",100.0
Private,"$1,135,267,034",61.9,"$9,402,134,549",75.7
"Agriculture, Forestry, Fishing,
  & Hunting","$9,147,726",0.5,"$77,320,968",0.6
"Mining, Quarrying, & Oil &
  Gas Extraction","$16,069,304",0.9,"$2,292,161,480",18.5
Utilities,"$11,346,358",0.6,"$201,510,613",1.6
Construction,"$119,007,166",6.5,"$1,060,383,641",8.5
Manufacturing,"$76,581,505",4.2,"$522,831,750",4.2
Wholesale Trade,"$48,854,179",2.7,"$527,492,048",4.2
Retail Trade,"$159,202,396",8.7,"$796,995,012",6.4
Transportation & Warehousing,"$99,439,524",5.4,"$452,562,477",3.6
Information,"$51,344,774",2.8,"$162,296,930",1.3
Financial Activities,"$103,906,565",5.7,"$528,141,060",4.3
Professional & Business Services,"$133,973,210",7.3,"$875,522,196",7.0
Educational & Health Services,"$190,500,129",10.4,"$1,017,875,287",8.2
Leisure & Hospitality,"$74,454,291",4.1,"$589,074,501",4.7
Other Services,"$41,439,907",2.3,"$297,966,586",2.4
Government,"$697,962,534",38.1,"$3,017,505,559",24.3
Federal Government,"$162,087,393",8.8,"$444,713,124",3.6
State Government,"$229,117,401",12.5,"$693,482,477",5.6
Local Government,"$306,757,740",16.7,"$1,879,309,958",15.1

