VALUATION AND TAXES8,Number,Percent,Number,Percent
"Total
  Assessed Valuation","$237,247,417",100.0,"$22,797,094,335",100.0
Non-Minerals,"$98,362,021",41.5,"$9,290,528,889",40.8
Agriculture,"$12,002,536",5.1,"$253,014,175",1.1
Residential,"$47,652,699",20.1,"$4,292,823,158",18.8
Commercial,"$10,361,571",4.4,"$1,198,642,514",5.3
Industrial,"$11,640,146",4.9,"$2,162,592,241",9.5
Other,"$16,705,069",7.0,"$1,383,456,801",6.1
Minerals,"$138,885,396",58.5,"$13,506,565,446",59.2
Oil,"$109,855,025",46.3,"$4,229,997,989",18.6
Natural gas,"$36,174",0.0,"$4,470,657,938",19.6
Coal,$0,0.0,"$4,054,979,229",17.8
Other minerals,"$28,994,197",12.2,"$750,930,290",3.3
"Total
  Property Taxes","$14,781,692",(X),"$1,463,519,560",(X)
"Average
  Mill Levy",62.3,(X),64.2,(X)

"4% Sales
  and Use Tax Collections","$5,606,396",(X),"$700,228,831",(X)

LANDOWNERSHIP9 (square miles),Number,Percent,Number,Percent
"Total
  Land","2,854.4",100.0,"97,093.1",100.0
U.S. Government,412.2,14.4,"46,535.4",47.9
National Park Service,2.1,0.1,"3,657.6",3.8
Forest Service,248.2,8.7,"14,390.9",14.8
Fish and Wildlife,0.0,0.0,80.3,0.1
Bureau of Land Management,136.7,4.8,"27,162.8",28.0
Bureau of Reclamation,25.2,0.9,"1,243.8",1.3
Wyoming,177.5,6.2,"6,042.7",6.2
State Lands Commission,177.1,6.2,"5,773.5",5.9
Recreation Commission,0.0,0.0,11.8,0.0
Game and Fish,0.4,0.0,257.4,0.3
Local Government,1.9,0.1,192.0,0.2
County,0.1,0.0,36.7,0.0
City and Town,1.7,0.1,78.3,0.1
School District and College,0.1,0.0,44.3,0.0
Other Lands,11.7,0.4,"3,155.5",3.2

Surface Water,11.9,0.4,735.2,0.8
Total Public,603.4,21.1,"55,925.5",57.6
Total Private,"2,251.0",78.9,"41,167.6",42.4

