VALUATION AND TAXES8,Number,Percent,Number,Percent
"Total
  Assessed Valuation","$1,255,227,453",100.0,"$22,797,094,335",100.0
Non-Minerals,"$847,364,929",67.5,"$9,290,528,889",40.8
Agriculture,"$9,431,191",0.8,"$253,014,175",1.1
Residential,"$466,848,838",37.2,"$4,292,823,158",18.8
Commercial,"$208,511,809",16.6,"$1,198,642,514",5.3
Industrial,"$110,188,529",8.8,"$2,162,592,241",9.5
Other,"$52,384,562",4.2,"$1,383,456,801",6.1
Minerals,"$407,862,524",32.5,"$13,506,565,446",59.2
Oil,"$359,684,399",28.7,"$4,229,997,989",18.6
Natural gas,"$44,397,391",3.5,"$4,470,657,938",19.6
Coal,$0,0.0,"$4,054,979,229",17.8
Other minerals,"$3,780,734",0.3,"$750,930,290",3.3
"Total
  Property Taxes","$88,205,189",(X),"$1,463,519,560",(X)
"Average
  Mill Levy",70.3,(X),64.2,(X)

"4% Sales
  and Use Tax Collections","$101,878,446",(X),"$700,228,831",(X)

"LANDOWNERSHIP9 (square
  miles)",Number,Percent,Number,Percent
"Total
  Land","5,340.4",100.0,"97,093.1",100.0
U.S. Government,"2,318.7",43.4,"46,535.4",47.9
National Park Service,0.0,0.0,"3,657.6",3.8
Forest Service,8.6,0.2,"14,390.9",14.8
Fish and Wildlife,2.4,0.0,80.3,0.1
Bureau of Land Management,"2,263.0",42.4,"27,162.8",28.0
Bureau of Reclamation,44.6,0.8,"1,243.8",1.3
Wyoming,620.4,11.6,"6,042.7",6.2
State Lands Commission,619.4,11.6,"5,773.5",5.9
Recreation Commission,0.8,0.0,11.8,0.0
Game and Fish,0.2,0.0,257.4,0.3
Local Government,25.3,0.5,192.0,0.2
County,12.9,0.2,36.7,0.0
City and Town,11.6,0.2,78.3,0.1
School District and College,0.8,0.0,44.3,0.0
Other Lands,13.3,0.2,"3,155.5",3.2

Surface Water,35.8,0.7,735.2,0.8
Total Public,"2,977.8",55.8,"55,925.5",57.6
Total Private,"2,362.6",44.2,"41,167.6",42.4

