PUBLIC SCHOOL STATISTICS10,Number,Percent
"Number
  of School Districts",2,(X),48,(X)
"Number
  of Schools",13,(X),351,(X)
"Fall
  Enrollment","1,238",(X),"90,993",(X)
"Composite
  ACT score (Grade 11)",18.8,(X),19.7,(X)
"High
  School Graduates (4 year on time)",81,(X),"5,300",(X)
Graduation Rate,81.8%,(X),77.6%,(X)
"Average
  Daily Membership (ADM)","1,236",(X),"89,832",(X)
"Certified
  Teachers",141,(X),"7,350",(X)
"Certified
  Staff",22,(X),"1,538",(X)
Administration,19,(X),746,(X)
"Classified
  Staff",126,(X),"6,940",(X)
"Students
  Transported Daily",338,(X),"31,351",(X)
"Total
  General Fund Revenues","$22,385,708",(X),"$1,370,360,482",(X)
"Total
  General Fund Expenditures","$22,620,877",(X),"$1,353,837,570",(X)
"Operating
  Cost Per ADM","$20,524",(X),"$17,156",(X)
"% of
  Students with Free or Reduced Lunch (2013-14)",32.7%,(X),37.6%,(X)

