TRANSPORTATION12,Number,Percent,Number,Percent
"Number
  of Registered Vehicles","117,605",100.0,"883,401",100.0
Passenger Cars,"60,733",51.6,"348,250",39.4
Trucks,"28,147",23.9,"251,400",28.5
Motorcycles,"4,656",4.0,"29,853",3.4
Trailers (including house trailers),"19,177",16.3,"196,395",22.2
"University of Wyoming Specialty Plates
  (cars & trucks)",764,0.6,"5,025",0.6
Commercial Trucks & Trailers,"1,197",1.0,"24,901",2.8
Others,"2,931",2.5,"27,577",3.1
"Road
  (miles)","2,253",100.0,"29,070",100.0
Federal,69,3.1,"4,089",14.1
State Highway,414,18.4,"6,752",23.2
County Road,"1,271",56.4,"14,620",50.3
Local (City & Town),346,15.4,"2,431",8.4
Other,153,6.8,"1,178",4.1
"Per
  Capita Vehicle Miles Traveled","11,022",(X),"15,659",(X)
"Commercial
  Airport Passengers","29,529",(X),"997,818",(X)

