HOUSEHOLDS BY TYPE2,Number,Percent,Number,Percent
"Total
  households","4,587",100.0,"221,479",100.0
Family households (families),"3,197",69.7,"145,992",65.9
"With own children under 18
  years","1,357",29.6,"63,449",28.6
Married-couple family,"2,770",60.4,"117,493",53.0
"With own children under 18
  years","1,085",23.7,"45,297",20.5
"Male householder, no wife present,
  family",161,3.5,"9,246",4.2
"With own children under 18
  years",112,2.4,"5,912",2.7
"Female householder, no husband
  present, family",266,5.8,"19,253",8.7
"With own children under 18
  years",160,3.5,"12,240",5.5
Nonfamily households,"1,390",30.3,"75,487",34.1
Householder living alone,"1,232",26.9,"61,207",27.6
65 years and over,578,12.6,"20,074",9.1

"Households with one or more people under 18
  years","1,478",32.2,"69,185",31.2
"Households with one or more people 65 years
  and over","1,441",31.4,"49,189",22.2

"Average
  household size",2.5,(X),2.48,(X)
"Average
  family size",3.04,(X),3.02,(X)

