VALUATION AND TAXES8,Number,Percent,Number,Percent
"Total
  Assessed Valuation","$872,773,553",100.0,"$22,797,094,335",100.0
Non-Minerals,"$363,023,508",41.6,"$9,290,528,889",40.8
Agriculture,"$15,886,208",1.8,"$253,014,175",1.1
Residential,"$252,827,503",29.0,"$4,292,823,158",18.8
Commercial,"$55,892,085",6.4,"$1,198,642,514",5.3
Industrial,"$20,429,054",2.3,"$2,162,592,241",9.5
Other,"$17,988,658",2.1,"$1,383,456,801",6.1
Minerals,"$509,750,045",58.4,"$13,506,565,446",59.2
Oil,"$487,820,288",55.9,"$4,229,997,989",18.6
Natural gas,"$20,300,481",2.3,"$4,470,657,938",19.6
Coal,$0,0.0,"$4,054,979,229",17.8
Other minerals,"$1,629,276",0.2,"$750,930,290",3.3
"Total
  Property Taxes","$62,035,842",(X),"$1,463,519,560",(X)
"Average
  Mill Levy",71.1,(X),64.2,(X)

"4% Sales
  and Use Tax Collections","$26,240,095",(X),"$700,228,831",(X)

"LANDOWNERSHIP9 (square
  miles)",Number,Percent,Number,Percent
"Total
  Land","6,942.1",100.0,"97,093.1",100.0
U.S. Government,"5,610.9",80.8,"46,535.4",47.9
National Park Service,"1,707.8",24.6,"3,657.6",3.8
Forest Service,"2,656.5",38.3,"14,390.9",14.8
Fish and Wildlife,0.0,0.0,80.3,0.1
Bureau of Land Management,876.5,12.6,"27,162.8",28.0
Bureau of Reclamation,370.1,5.3,"1,243.8",1.3
Wyoming,255.9,3.7,"6,042.7",6.2
State Lands Commission,246.3,3.5,"5,773.5",5.9
Recreation Commission,0.0,0.0,11.8,0.0
Game and Fish,9.5,0.1,257.4,0.3
Local Government,7.7,0.1,192.0,0.2
County,1.6,0.0,36.7,0.0
City and Town,5.3,0.1,78.3,0.1
School District and College,0.8,0.0,44.3,0.0
Other Lands,6.8,0.1,"3,155.5",3.2

Surface Water,26.1,0.4,735.2,0.8
Total Public,"5,881.3",84.7,"55,925.5",57.6
Total Private,"1,060.8",15.3,"41,167.6",42.4

