POPULATION - AGE/SEX1,Number,Percent,Number,Percent
Total,"94,483",100.0,"576,412",100.0
Male,"47,558",50.3,"294,281",51.1
Female,"46,925",49.7,"282,131",48.9

Under 5 years,"6,372",6.7,"38,592",6.7
5 to 9 years,"6,417",6.8,"38,895",6.7
10 to 14 years,"5,923",6.3,"36,286",6.3
15 to 19 years,"5,786",6.1,"37,270",6.5
20 to 24 years,"7,078",7.5,"42,591",7.4
25 to 29 years,"6,884",7.3,"41,306",7.2
30 to 34 years,"6,348",6.7,"39,793",6.9
35 to 39 years,"5,559",5.9,"34,061",5.9
40 to 44 years,"5,907",6.3,"34,207",5.9
45 to 49 years,"6,264",6.6,"35,794",6.2
50 to 54 years,"6,983",7.4,"43,170",7.5
55 to 59 years,"6,717",7.1,"43,260",7.5
60 to 64 years,"5,751",6.1,"35,679",6.2
65 to 69 years,"4,102",4.3,"25,651",4.5
70 to 74 years,"2,935",3.1,"17,863",3.1
75 to 79 years,"2,173",2.3,"12,783",2.2
80 to 84 years,"1,688",1.8,"9,990",1.7
85 years and over,"1,596",1.7,"9,221",1.6

Under 18 years,"22,186",23.5,"135,490",23.5
18 to 24 years,"9,390",9.9,"58,144",10.1
25 to 44 years,"24,698",26.1,"149,367",25.9
45 to 64 years,"25,715",27.2,"157,903",27.4
65 years and over,"12,494",13.2,"75,508",13.1

Median age (years),37.2,NA,36.9,NA

