HOUSEHOLDS BY TYPE2,Number,Percent,Number,Percent
"Total
  households","15,021",100.0,"221,479",100.0
Family households (families),"7,178",47.8,"145,992",65.9
"With own children under 18
  years","2,941",19.6,"63,449",28.6
Married-couple family,"5,853",39.0,"117,493",53.0
"With own children under 18
  years","2,234",14.9,"45,297",20.5
"Male householder, no wife present,
  family",465,3.1,"9,246",4.2
"With own children under 18
  years",238,1.6,"5,912",2.7
"Female householder, no husband
  present, family",860,5.7,"19,253",8.7
"With own children under 18
  years",469,3.1,"12,240",5.5
Nonfamily households,"7,843",52.2,"75,487",34.1
Householder living alone,"5,099",33.9,"61,207",27.6
65 years and over,952,6.3,"20,074",9.1

"Households with one or more people under 18
  years","3,113",20.7,"69,185",31.2
"Households with one or more people 65 years
  and over","2,284",15.2,"49,189",22.2

"Average
  household size",2.24,(X),2.48,(X)
"Average
  family size",2.89,(X),3.02,(X)

