POPULATION - AGE/SEX1,Number,Percent,Number,Percent
Total,"78,621",100.0,"576,412",100.0
Male,"39,750",50.6,"294,281",51.1
Female,"38,871",49.4,"282,131",48.9

Under 5 years,"5,303",6.7,"38,592",6.7
5 to 9 years,"5,404",6.9,"38,895",6.7
10 to 14 years,"4,836",6.2,"36,286",6.3
15 to 19 years,"4,936",6.3,"37,270",6.5
20 to 24 years,"5,654",7.2,"42,591",7.4
25 to 29 years,"6,055",7.7,"41,306",7.2
30 to 34 years,"5,704",7.3,"39,793",6.9
35 to 39 years,"4,780",6.1,"34,061",5.9
40 to 44 years,"4,751",6.0,"34,207",5.9
45 to 49 years,"4,885",6.2,"35,794",6.2
50 to 54 years,"5,911",7.5,"43,170",7.5
55 to 59 years,"5,856",7.4,"43,260",7.5
60 to 64 years,"4,625",5.9,"35,679",6.2
65 to 69 years,"3,104",3.9,"25,651",4.5
70 to 74 years,"2,173",2.8,"17,863",3.1
75 to 79 years,"1,682",2.1,"12,783",2.2
80 to 84 years,"1,544",2.0,"9,990",1.7
85 years and over,"1,418",1.8,"9,221",1.6

Under 18 years,"18,535",23.6,"135,490",23.5
18 to 24 years,"7,598",9.7,"58,144",10.1
25 to 44 years,"21,290",27.1,"149,367",25.9
45 to 64 years,"21,277",27.1,"157,903",27.4
65 years and over,"9,921",12.6,"75,508",13.1

Median age (years),36.4,NA,36.9,NA

