HOUSEHOLDS BY TYPE2,Number,Percent,Number,Percent
"Total
  households","16,937",100.0,"221,479",100.0
Family households (families),"12,093",71.4,"145,992",65.9
"With own children under 18
  years","6,099",36.0,"63,449",28.6
Married-couple family,"9,802",57.9,"117,493",53.0
"With own children under 18
  years","4,483",26.5,"45,297",20.5
"Male householder, no wife present,
  family",764,4.5,"9,246",4.2
"With own children under 18
  years",468,2.8,"5,912",2.7
"Female householder, no husband
  present, family","1,527",9.0,"19,253",8.7
"With own children under 18
  years","1,148",6.8,"12,240",5.5
Nonfamily households,"4,844",28.6,"75,487",34.1
Householder living alone,"3,579",21.1,"61,207",27.6
65 years and over,719,4.2,"20,074",9.1

"Households with one or more people under 18
  years","6,400",37.8,"69,185",31.2
"Households with one or more people 65 years
  and over","1,807",10.7,"49,189",22.2

"Average
  household size",2.68,(X),2.48,(X)
"Average
  family size",3.12,(X),3.02,(X)

