POPULATION - AGE/SEX1,Number,Percent,Number,Percent
Total,"7,082",100.0,"576,412",100.0
Male,"3,728",52.6,"294,281",51.1
Female,"3,354",47.4,"282,131",48.9

Under 5 years,422,6.0,"38,592",6.7
5 to 9 years,460,6.5,"38,895",6.7
10 to 14 years,408,5.8,"36,286",6.3
15 to 19 years,405,5.7,"37,270",6.5
20 to 24 years,383,5.4,"42,591",7.4
25 to 29 years,404,5.7,"41,306",7.2
30 to 34 years,469,6.6,"39,793",6.9
35 to 39 years,396,5.6,"34,061",5.9
40 to 44 years,410,5.8,"34,207",5.9
45 to 49 years,445,6.3,"35,794",6.2
50 to 54 years,593,8.4,"43,170",7.5
55 to 59 years,617,8.7,"43,260",7.5
60 to 64 years,474,6.7,"35,679",6.2
65 to 69 years,367,5.2,"25,651",4.5
70 to 74 years,280,4.0,"17,863",3.1
75 to 79 years,205,2.9,"12,783",2.2
80 to 84 years,157,2.2,"9,990",1.7
85 years and over,187,2.6,"9,221",1.6

Under 18 years,"1,550",21.9,"135,490",23.5
18 to 24 years,528,7.5,"58,144",10.1
25 to 44 years,"1,679",23.7,"149,367",25.9
45 to 64 years,"2,129",30.1,"157,903",27.4
65 years and over,"1,196",16.9,"75,508",13.1

Median age (years),42.3,NA,36.9,NA

