"INCOME
  AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)2",Number,Percent,Number,Percent
"Total
  households","2,946",100.0,"221,479",100.0
"Less than $10,000",137,4.7,"11,279",5.1
"$10,000 to $14,999",93,3.2,"10,717",4.8
"$15,000 to $24,999",212,7.2,"21,127",9.5
"$25,000 to $34,999",485,16.5,"22,992",10.4
"$35,000 to $49,999",489,16.6,"31,395",14.2
"$50,000 to $74,999",623,21.1,"44,135",19.9
"$75,000 to $99,999",468,15.9,"31,949",14.4
"$100,000 to $149,999",338,11.5,"32,413",14.6
"$150,000 to $199,999",49,1.7,"9,172",4.1
"$200,000 or more",52,1.8,"6,300",2.8
Median household income (dollars),"$51,319",(X),"$56,573",(X)
Mean household income (dollars),"$61,553",(X),"$70,836",(X)

With earnings,"2,404",81.6,"184,013",83.1
Mean earnings (dollars),"$58,112",(X),"$69,147",(X)
With Social Security,898,30.5,"58,632",26.5
Mean Social Security income (dollars),"$16,561",(X),"$16,806",(X)
With retirement income,506,17.2,"35,970",16.2
Mean retirement income (dollars),"$19,073",(X),"$21,386",(X)

With Supplemental Security Income,51,1.7,"6,552",3.0
"Mean Supplemental Security Income
  (dollars)","$9,961",(X),"$8,539",(X)
With cash public assistance income,46,1.6,"3,444",1.6
"Mean cash public assistance income
  (dollars)","$3,733",(X),"$3,374",(X)
With Food Stamp/SNAP benefits,104,3.5,"12,666",5.7

