"HEALTH CARE AND RISK
  FACTORS13",Number,Percent,Number,Percent
"Licensed
  Hospitals",2,(X),27,(X)
Bed Capacity,21,(X),"1,386",(X)
"Licensed
  Nursing Care Facilities",3,(X),38,(X)
Bed Capacity,212,(X),"2,950",(X)
Occupancy Rate,79.0%,(X),80.9%,(X)
"Medicaid
  Beneficiaries","2,046",17.3,"87,069",15.1
"Enrollment
  in State Children Health Insurance Program",259,8.3,"8,846",6.2
"Percent of Adults with BMI (weight in kg/height in meters
  squared) Larger Than 30",25.6%,(X),25.2%,(X)
"Percent of Adults who reported having 5 or more drinks on
  an occasion at least once in the past 30 days",15.8%,(X),15.6%,(X)
"Percent of Adults who reported having smoked at least 100
  cigarettes in their life time and are currently smoking",23.2%,(X),22.2%,(X)

