VALUATION AND TAXES8,Number,Percent,Number,Percent
"Total
  Assessed Valuation","$905,663,761",100.0,"$22,797,094,335",100.0
Non-Minerals,"$415,287,339",45.9,"$9,290,528,889",40.8
Agriculture,"$14,199,226",1.6,"$253,014,175",1.1
Residential,"$224,791,532",24.8,"$4,292,823,158",18.8
Commercial,"$60,179,587",6.6,"$1,198,642,514",5.3
Industrial,"$92,223,420",10.2,"$2,162,592,241",9.5
Other,"$23,893,574",2.6,"$1,383,456,801",6.1
Minerals,"$490,376,422",54.1,"$13,506,565,446",59.2
Oil,"$318,537,495",35.2,"$4,229,997,989",18.6
Natural gas,"$170,962,223",18.9,"$4,470,657,938",19.6
Coal,$0,0.0,"$4,054,979,229",17.8
Other minerals,"$876,704",0.1,"$750,930,290",3.3
"Total
  Property Taxes","$66,521,913",(X),"$1,463,519,560",(X)
"Average
  Mill Levy",73.5,(X),64.2,(X)

"4% Sales
  and Use Tax Collections","$30,912,619",(X),"$700,228,831",(X)

LANDOWNERSHIP9 (square miles),Number,Percent,Number,Percent
"Total
  Land","9,183.8",100.0,"97,093.1",100.0
U.S. Government,"4,984.9",54.3,"46,535.4",47.9
National Park Service,0.0,0.0,"3,657.6",3.8
Forest Service,"1,534.6",16.7,"14,390.9",14.8
Fish and Wildlife,5.4,0.1,80.3,0.1
Bureau of Land Management,"3,254.4",35.4,"27,162.8",28.0
Bureau of Reclamation,190.4,2.1,"1,243.8",1.3
Wyoming,495.9,5.4,"6,042.7",6.2
State Lands Commission,419.6,4.6,"5,773.5",5.9
Recreation Commission,1.0,0.0,11.8,0.0
Game and Fish,75.3,0.8,257.4,0.3
Local Government,8.7,0.1,192.0,0.2
County,1.3,0.0,36.7,0.0
City and Town,5.8,0.1,78.3,0.1
School District and College,1.6,0.0,44.3,0.0
Other Lands,"2,459.3",26.8,"3,155.5",3.2

Surface Water,105.6,1.1,735.2,0.8
Total Public,"7,948.8",86.6,"55,925.5",57.6
Total Private,"1,235.0",13.4,"41,167.6",42.4

