"AVERAGE
  WAGE AND SALARY EMPLOYMENT6",Number,Percent,Number,Percent
Total,"3,904",100.0,"278,595",100.0
Private,"3,027",77.5,"212,193",76.2
"Agriculture, Forestry, Fishing,
  & Hunting",96,2.5,"2,542",0.9
"Mining, Quarrying, & Oil &
  Gas Extraction",183,4.7,"27,688",9.9
Utilities,44,1.1,"2,469",0.9
Construction,293,7.5,"21,500",7.7
Manufacturing,408,10.5,"9,357",3.4
Wholesale Trade,100,2.6,"9,166",3.3
Retail Trade,313,8.0,"29,444",10.6
Transportation & Warehousing,144,3.7,"9,554",3.4
Information,76,2.0,"3,902",1.4
Financial Activities,172,4.4,"10,754",3.9
Professional & Business Services,200,5.1,"18,010",6.5
Educational & Health Services,543,13.9,"25,324",9.1
Leisure & Hospitality,345,8.8,"33,923",12.2
Other Services,111,2.8,"8,564",3.1
Government,877,22.5,"66,403",23.8
Federal Government,129,3.3,"7,522",2.7
State Government,175,4.5,"13,343",4.8
Local Government,574,14.7,"45,538",16.3

