POPULATION - AGE/SEX1,Number,Percent,Number,Percent
Total,"15,666",100.0,"576,412",100.0
Male,"8,594",54.9,"294,281",51.1
Female,"7,072",45.1,"282,131",48.9

Under 5 years,"1,023",6.5,"38,592",6.7
5 to 9 years,"1,007",6.4,"38,895",6.7
10 to 14 years,981,6.3,"36,286",6.3
15 to 19 years,898,5.7,"37,270",6.5
20 to 24 years,949,6.1,"42,591",7.4
25 to 29 years,"1,139",7.3,"41,306",7.2
30 to 34 years,"1,123",7.2,"39,793",6.9
35 to 39 years,936,6.0,"34,061",5.9
40 to 44 years,963,6.1,"34,207",5.9
45 to 49 years,"1,007",6.4,"35,794",6.2
50 to 54 years,"1,208",7.7,"43,170",7.5
55 to 59 years,"1,252",8.0,"43,260",7.5
60 to 64 years,"1,068",6.8,"35,679",6.2
65 to 69 years,741,4.7,"25,651",4.5
70 to 74 years,542,3.5,"17,863",3.1
75 to 79 years,362,2.3,"12,783",2.2
80 to 84 years,287,1.8,"9,990",1.7
85 years and over,180,1.1,"9,221",1.6

Under 18 years,"3,572",22.8,"135,490",23.5
18 to 24 years,"1,286",8.2,"58,144",10.1
25 to 44 years,"4,161",26.6,"149,367",25.9
45 to 64 years,"4,535",28.9,"157,903",27.4
65 years and over,"2,112",13.5,"75,508",13.1

Median age (years),38.8,NA,36.9,NA

