AVERAGE ANNUAL WAGE6,Number,Percent,Number,Percent
Total,"$33,782",100.0,"$44,580",100.0
Private,"$32,852",97.2,"$44,309",99.4
"Agriculture, Forestry, Fishing,
  & Hunting","$34,815",103.1,"$30,423",68.2
"Mining, Quarrying, & Oil &
  Gas Extraction","$66,308",196.3,"$82,787",185.7
Utilities,"$67,093",198.6,"$81,625",183.1
Construction,"$40,958",121.2,"$49,321",110.6
Manufacturing,"$35,704",105.7,"$55,879",125.3
Wholesale Trade,"$51,329",151.9,"$57,547",129.1
Retail Trade,"$19,459",57.6,"$27,069",60.7
Transportation & Warehousing,"$48,344",143.1,"$47,370",106.3
Information,"$15,073",44.6,"$41,599",93.3
Financial Activities,"$32,009",94.8,"$49,113",110.2
Professional & Business Services,"$37,419",110.8,"$48,614",109.0
Educational & Health Services,"$29,169",86.3,"$40,194",90.2
Leisure & Hospitality,"$12,674",37.5,"$17,365",39.0
Other Services,"$20,810",61.6,"$34,795",78.1
Government,"$36,289",107.4,"$45,442",101.9
Federal Government,"$48,983",145.0,"$59,122",132.6
State Government,"$42,260",125.1,"$51,973",116.6
Local Government,"$35,124",104.0,"$41,270",92.6

