EDUCATIONAL ATTAINMENT2,Number,Percent,Number,Percent
"Population
  25 years and over","6,184",100.0,"371,096",100.0
Less than 9th grade,78,1.3,"8,661",2.3
"9th to 12th grade, no diploma",277,4.5,"20,726",5.6
"High school graduate (includes
  equivalency)","2,030",32.8,"113,353",30.5
"Some college, no degree","1,559",25.2,"101,199",27.3
Associate's degree,556,9.0,"37,126",10.0
Bachelor's degree,"1,130",18.3,"60,011",16.2
Graduate or professional degree,554,9.0,"30,020",8.1

"Percent
  high school graduate or higher",(X),94.3,(X),92.1
"Percent
  bachelor's degree or higher",(X),27.2,(X),24.3

