PUBLIC SCHOOL STATISTICS10,Number,Percent
"Number
  of School Districts",2,(X),48,(X)
"Number
  of Schools",6,(X),351,(X)
"Fall
  Enrollment","1,509",(X),"90,993",(X)
"Composite
  ACT score (Grade 11)",20.3,(X),19.7,(X)
"High
  School Graduates (4 year on time)",94,(X),"5,300",(X)
Graduation Rate,83.9%,(X),77.6%,(X)
"Average
  Daily Membership (ADM)","1,496",(X),"89,832",(X)
"Certified
  Teachers",125,(X),"7,350",(X)
"Certified
  Staff",25,(X),"1,538",(X)
Administration,16,(X),746,(X)
"Classified
  Staff",128,(X),"6,940",(X)
"Students
  Transported Daily",261,(X),"31,351",(X)
"Total
  General Fund Revenues","$23,631,990",(X),"$1,370,360,482",(X)
"Total
  General Fund Expenditures","$23,524,707",(X),"$1,353,837,570",(X)
"Operating
  Cost Per ADM","$17,922",(X),"$17,156",(X)
"% of
  Students with Free or Reduced Lunch (2013-14)",49.7%,(X),37.6%,(X)

