TRANSPORTATION12,Number,Percent,Number,Percent
"Number
  of Registered Vehicles","38,305",100.0,"883,401",100.0
Passenger Cars,"18,655",48.7,"348,250",39.4
Trucks,"9,904",25.9,"251,400",28.5
Motorcycles,"1,263",3.3,"29,853",3.4
Trailers (including house trailers),"6,889",18.0,"196,395",22.2
"University of Wyoming Specialty Plates
  (cars & trucks)",370,1.0,"5,025",0.6
Commercial Trucks & Trailers,384,1.0,"24,901",2.8
Others,840,2.2,"27,577",3.1
"Road
  (miles)","1,313",100.0,"29,070",100.0
Federal,243,18.5,"4,089",14.1
State Highway,312,23.8,"6,752",23.2
County Road,581,44.3,"14,620",50.3
Local (City & Town),136,10.4,"2,431",8.4
Other,41,3.1,"1,178",4.1
"Per
  Capita Vehicle Miles Traveled","14,804",(X),"15,659",(X)
"Commercial
  Airport Passengers","14,431",(X),"997,818",(X)

