PUBLIC SCHOOL STATISTICS10,Number,Percent
"Number
  of School Districts",1,(X),48,(X)
"Number
  of Schools",4,(X),351,(X)
"Fall
  Enrollment",979,(X),"90,993",(X)
"Composite
  ACT score (Grade 11)",18.9,(X),19.7,(X)
"High
  School Graduates (4 year on time)",44,(X),"5,300",(X)
Graduation Rate,45.8%,(X),77.6%,(X)
"Average
  Daily Membership (ADM)",948,(X),"89,832",(X)
"Certified
  Teachers",67,(X),"7,350",(X)
"Certified
  Staff",8,(X),"1,538",(X)
Administration,8,(X),746,(X)
"Classified
  Staff",32,(X),"6,940",(X)
"Students
  Transported Daily",160,(X),"31,351",(X)
"Total
  General Fund Revenues","$11,452,540",(X),"$1,370,360,482",(X)
"Total
  General Fund Expenditures","$11,191,200",(X),"$1,353,837,570",(X)
"Operating
  Cost Per ADM","$13,052",(X),"$17,156",(X)
"% of
  Students with Free or Reduced Lunch (2013-14)",10.2%,(X),37.6%,(X)

