"TOTAL
  ANNUAL WAGES6",Number,Percent,Number,Percent
Total,"$157,905,855",100.0,"$12,419,640,108",100.0
Private,"$101,921,254",64.5,"$9,402,134,549",75.7
"Agriculture, Forestry, Fishing,
  & Hunting","$3,851,285",2.4,"$77,320,968",0.6
"Mining, Quarrying, & Oil &
  Gas Extraction","$34,968,599",22.1,"$2,292,161,480",18.5
Utilities,"$1,260,826",0.8,"$201,510,613",1.6
Construction,"$11,335,223",7.2,"$1,060,383,641",8.5
Manufacturing,"$10,120,670",6.4,"$522,831,750",4.2
Wholesale Trade,"$4,984,135",3.2,"$527,492,048",4.2
Retail Trade,"$5,961,863",3.8,"$796,995,012",6.4
Transportation & Warehousing,"$3,008,973",1.9,"$452,562,477",3.6
Information,"$3,762,961",2.4,"$162,296,930",1.3
Financial Activities,"$4,202,654",2.7,"$528,141,060",4.3
Professional & Business Services,"$10,743,247",6.8,"$875,522,196",7.0
Educational & Health Services,"$3,530,752",2.2,"$1,017,875,287",8.2
Leisure & Hospitality,"$2,470,436",1.6,"$589,074,501",4.7
Other Services,"$1,719,630",1.1,"$297,966,586",2.4
Government,"$55,984,601",35.5,"$3,017,505,559",24.3
Federal Government,"$5,306,684",3.4,"$444,713,124",3.6
State Government,"$7,995,967",5.1,"$693,482,477",5.6
Local Government,"$42,681,950",27.0,"$1,879,309,958",15.1

