"TOTAL
  ANNUAL WAGES6",Number,Percent,Number,Percent
Total,"$492,411,609",100.0,"$12,419,640,108",100.0
Private,"$330,461,316",67.1,"$9,402,134,549",75.7
"Agriculture, Forestry, Fishing,
  & Hunting","$11,026,807",2.2,"$77,320,968",0.6
"Mining, Quarrying, & Oil &
  Gas Extraction","$20,083,030",4.1,"$2,292,161,480",18.5
Utilities,"$4,640,543",0.9,"$201,510,613",1.6
Construction,"$37,909,689",7.7,"$1,060,383,641",8.5
Manufacturing,"$16,895,480",3.4,"$522,831,750",4.2
Wholesale Trade,"$15,825,317",3.2,"$527,492,048",4.2
Retail Trade,"$43,548,146",8.8,"$796,995,012",6.4
Transportation & Warehousing,"$14,300,303",2.9,"$452,562,477",3.6
Information,"$7,525,284",1.5,"$162,296,930",1.3
Financial Activities,"$25,104,908",5.1,"$528,141,060",4.3
Professional & Business Services,"$45,595,980",9.3,"$875,522,196",7.0
Educational & Health Services,"$52,783,341",10.7,"$1,017,875,287",8.2
Leisure & Hospitality,"$24,078,244",4.9,"$589,074,501",4.7
Other Services,"$11,144,244",2.3,"$297,966,586",2.4
Government,"$161,950,293",32.9,"$3,017,505,559",24.3
Federal Government,"$42,672,542",8.7,"$444,713,124",3.6
State Government,"$17,446,477",3.5,"$693,482,477",5.6
Local Government,"$101,831,274",20.7,"$1,879,309,958",15.1

