"TOTAL
  ANNUAL WAGES6",Number,Percent,Number,Percent
Total,"$656,716,972",100.0,"$12,419,640,108",100.0
Private,"$415,437,129",63.3,"$9,402,134,549",75.7
"Agriculture, Forestry, Fishing,
  & Hunting","$3,390,591",0.5,"$77,320,968",0.6
"Mining, Quarrying, & Oil &
  Gas Extraction","$78,655,299",12.0,"$2,292,161,480",18.5
Utilities,"$4,811,300",0.7,"$201,510,613",1.6
Construction,"$41,462,590",6.3,"$1,060,383,641",8.5
Manufacturing,"$8,901,739",1.4,"$522,831,750",4.2
Wholesale Trade,"$15,520,224",2.4,"$527,492,048",4.2
Retail Trade,"$51,389,706",7.8,"$796,995,012",6.4
Transportation & Warehousing,"$16,679,720",2.5,"$452,562,477",3.6
Information,"$7,284,687",1.1,"$162,296,930",1.3
Financial Activities,"$31,389,810",4.8,"$528,141,060",4.3
Professional & Business Services,"$37,768,010",5.8,"$875,522,196",7.0
Educational & Health Services,"$80,149,030",12.2,"$1,017,875,287",8.2
Leisure & Hospitality,"$23,535,530",3.6,"$589,074,501",4.7
Other Services,"$14,498,893",2.2,"$297,966,586",2.4
Government,"$241,279,843",36.7,"$3,017,505,559",24.3
Federal Government,"$29,113,871",4.4,"$444,713,124",3.6
State Government,"$39,928,103",6.1,"$693,482,477",5.6
Local Government,"$172,237,869",26.2,"$1,879,309,958",15.1

