VALUATION AND TAXES8,Number,Percent,Number,Percent
"Total
  Assessed Valuation","$373,430,338",100.0,"$22,797,094,335",100.0
Non-Minerals,"$367,284,780",98.4,"$9,290,528,889",40.8
Agriculture,"$8,446,972",2.3,"$253,014,175",1.1
Residential,"$217,144,754",58.1,"$4,292,823,158",18.8
Commercial,"$78,154,454",20.9,"$1,198,642,514",5.3
Industrial,"$10,080,186",2.7,"$2,162,592,241",9.5
Other,"$53,458,414",14.3,"$1,383,456,801",6.1
Minerals,"$6,145,558",1.6,"$13,506,565,446",59.2
Oil,"$4,976,508",1.3,"$4,229,997,989",18.6
Natural gas,$0,0.0,"$4,470,657,938",19.6
Coal,$0,0.0,"$4,054,979,229",17.8
Other minerals,"$1,169,050",0.3,"$750,930,290",3.3
"Total
  Property Taxes","$26,471,605",(X),"$1,463,519,560",(X)
"Average
  Mill Levy",70.9,(X),64.2,(X)

"4% Sales
  and Use Tax Collections","$19,394,441",(X),"$700,228,831",(X)

"LANDOWNERSHIP9 (square
  miles)",Number,Percent,Number,Percent
"Total
  Land","4,273.8",100.0,"97,093.1",100.0
U.S. Government,"1,041.2",24.4,"46,535.4",47.9
National Park Service,0.0,0.0,"3,657.6",3.8
Forest Service,586.2,13.7,"14,390.9",14.8
Fish and Wildlife,7.0,0.2,80.3,0.1
Bureau of Land Management,448.0,10.5,"27,162.8",28.0
Bureau of Reclamation,0.0,0.0,"1,243.8",1.3
Wyoming,340.4,8.0,"6,042.7",6.2
State Lands Commission,331.4,7.8,"5,773.5",5.9
Recreation Commission,0.3,0.0,11.8,0.0
Game and Fish,8.7,0.2,257.4,0.3
Local Government,54.7,1.3,192.0,0.2
County,0.5,0.0,36.7,0.0
City and Town,19.1,0.4,78.3,0.1
School District and College,35.1,0.8,44.3,0.0
Other Lands,10.3,0.2,"3,155.5",3.2

Surface Water,36.0,0.8,735.2,0.8
Total Public,"1,446.6",33.8,"55,925.5",57.6
Total Private,"2,827.2",66.2,"41,167.6",42.4

