HOUSEHOLDS BY TYPE2,Number,Percent,Number,Percent
"Total
  households","2,946",100.0,"221,479",100.0
Family households (families),"2,023",68.7,"145,992",65.9
"With own children under 18
  years",752,25.5,"63,449",28.6
Married-couple family,"1,714",58.2,"117,493",53.0
"With own children under 18
  years",551,18.7,"45,297",20.5
"Male householder, no wife present,
  family",55,1.9,"9,246",4.2
"With own children under 18
  years",27,0.9,"5,912",2.7
"Female householder, no husband
  present, family",254,8.6,"19,253",8.7
"With own children under 18
  years",174,5.9,"12,240",5.5
Nonfamily households,923,31.3,"75,487",34.1
Householder living alone,831,28.2,"61,207",27.6
65 years and over,224,7.6,"20,074",9.1

"Households with one or more people under 18
  years",791,26.8,"69,185",31.2
"Households with one or more people 65 years
  and over",806,27.4,"49,189",22.2

"Average
  household size",2.36,(X),2.48,(X)
"Average
  family size",2.9,(X),3.02,(X)

