"TOTAL
  ANNUAL WAGES6",Number,Percent,Number,Percent
Total,"$1,969,252,487",100.0,"$12,419,640,108",100.0
Private,"$1,694,009,018",86.0,"$9,402,134,549",75.7
"Agriculture, Forestry, Fishing,
  & Hunting","$2,994,973",0.2,"$77,320,968",0.6
"Mining, Quarrying, & Oil &
  Gas Extraction","$358,851,550",18.2,"$2,292,161,480",18.5
Utilities,"$10,349,721",0.5,"$201,510,613",1.6
Construction,"$155,360,764",7.9,"$1,060,383,641",8.5
Manufacturing,"$97,093,583",4.9,"$522,831,750",4.2
Wholesale Trade,"$170,689,257",8.7,"$527,492,048",4.2
Retail Trade,"$135,105,745",6.9,"$796,995,012",6.4
Transportation & Warehousing,"$62,973,486",3.2,"$452,562,477",3.6
Information,"$18,389,617",0.9,"$162,296,930",1.3
Financial Activities,"$103,847,897",5.3,"$528,141,060",4.3
Professional & Business Services,"$145,871,007",7.4,"$875,522,196",7.0
Educational & Health Services,"$274,119,285",13.9,"$1,017,875,287",8.2
Leisure & Hospitality,"$68,644,837",3.5,"$589,074,501",4.7
Other Services,"$89,717,296",4.6,"$297,966,586",2.4
Government,"$275,243,469",14.0,"$3,017,505,559",24.3
Federal Government,"$45,927,984",2.3,"$444,713,124",3.6
State Government,"$38,582,699",2.0,"$693,482,477",5.6
Local Government,"$190,732,786",9.7,"$1,879,309,958",15.1

