"TOTAL
  ANNUAL WAGES6",Number,Percent,Number,Percent
Total,"$29,048,546",100.0,"$12,419,640,108",100.0
Private,"$12,115,581",41.7,"$9,402,134,549",75.7
"Agriculture, Forestry, Fishing,
  & Hunting","$382,841",1.3,"$77,320,968",0.6
"Mining, Quarrying, & Oil &
  Gas Extraction","$1,606,158",5.5,"$2,292,161,480",18.5
Utilities,"$775,961",2.7,"$201,510,613",1.6
Construction,"$1,998,222",6.9,"$1,060,383,641",8.5
Manufacturing,"$397,000",1.4,"$522,831,750",4.2
Wholesale Trade,"$441,000",1.5,"$527,492,048",4.2
Retail Trade,"$1,601,129",5.5,"$796,995,012",6.4
Transportation & Warehousing,"$308,910",1.1,"$452,562,477",3.6
Information,"$65,000",0.2,"$162,296,930",1.3
Financial Activities,"$893,388",3.1,"$528,141,060",4.3
Professional & Business Services,"$436,020",1.5,"$875,522,196",7.0
Educational & Health Services,"$2,362,010",8.1,"$1,017,875,287",8.2
Leisure & Hospitality,"$634,980",2.2,"$589,074,501",4.7
Other Services,"$212,962",0.7,"$297,966,586",2.4
Government,"$16,932,965",58.3,"$3,017,505,559",24.3
Federal Government,"$447,671",1.5,"$444,713,124",3.6
State Government,"$5,573,520",19.2,"$693,482,477",5.6
Local Government,"$10,911,774",37.6,"$1,879,309,958",15.1

