HOUSEHOLDS BY TYPE2,Number,Percent,Number,Percent
"Total
  households","12,446",100.0,"221,479",100.0
Family households (families),"7,842",63.0,"145,992",65.9
"With own children under 18
  years","3,142",25.2,"63,449",28.6
Married-couple family,"6,538",52.5,"117,493",53.0
"With own children under 18
  years","2,342",18.8,"45,297",20.5
"Male householder, no wife present,
  family",479,3.8,"9,246",4.2
"With own children under 18
  years",296,2.4,"5,912",2.7
"Female householder, no husband
  present, family",825,6.6,"19,253",8.7
"With own children under 18
  years",504,4.0,"12,240",5.5
Nonfamily households,"4,604",37.0,"75,487",34.1
Householder living alone,"3,893",31.3,"61,207",27.6
65 years and over,"1,381",11.1,"20,074",9.1

"Households with one or more people under 18
  years","3,332",26.8,"69,185",31.2
"Households with one or more people 65 years
  and over","3,205",25.8,"49,189",22.2

"Average
  household size",2.26,(X),2.48,(X)
"Average
  family size",2.86,(X),3.02,(X)

